questions,code_answers
एक प्रोग्राम लिखें जो एक पूर्णांकों की सूची को इनपुट के रूप में लेता है और सूची में सभी सकारात्मक संख्याओं का योग लौटाता है।,"def sum_positive_numbers(numbers):
    sum_positive = 0
    for num in numbers:
        if num > 0:
            sum_positive += num
    return sum_positive"
Escribe un programa que tome una lista de números enteros como entrada y devuelva la suma de todos los números positivos en la lista.,"def sum_positive_numbers(numbers):
    sum_positive = 0
    for num in numbers:
        if num > 0:
            sum_positive += num
    return sum_positive"
整数のリストを入力として受け取り、リスト内のすべての正の数の合計を返すプログラムを作成してください。,"def sum_positive_numbers(numbers):
    sum_positive = 0
    for num in numbers:
        if num > 0:
            sum_positive += num
    return sum_positive"
"Напишите программу, которая принимает список целых чисел в качестве входных данных и возвращает сумму всех положительных чисел в списке.","def sum_positive_numbers(numbers):
    sum_positive = 0
    for num in numbers:
        if num > 0:
            sum_positive += num
    return sum_positive"
"Write a Python program that takes a string as input and counts the number of vowels (a, e, i, o, u) in the string.","def count_vowels(string):
    vowels = 'aeiou'
    count = 0
    for char in string:
        if char.lower() in vowels:
            count += 1
    return count"
编写一个Python程序，接受一个字符串作为输入，并计算字符串中元音字母（a，e，i，o，u）的数量。,"def count_vowels(string):
    vowels = 'aeiou'
    count = 0
    for char in string:
        if char.lower() in vowels:
            count += 1
    return count"
"एक पायथन प्रोग्राम लिखें जो एक स्ट्रिंग को इनपुट के रूप में लेता है और स्ट्रिंग में मौनस्वरों (a, e, i, o, u) की संख्या की गणना करता है।","def count_vowels(string):
    vowels = 'aeiou'
    count = 0
    for char in string:
        if char.lower() in vowels:
            count += 1
    return count"
"Escribe un programa en Python que tome una cadena como entrada y cuente el número de vocales (a, e, i, o, u) en la cadena.","def count_vowels(string):
    vowels = 'aeiou'
    count = 0
    for char in string:
        if char.lower() in vowels:
            count += 1
    return count"
Pythonプログラムを作成し、文字列を入力として受け取り、文字列内の母音（a、e、i、o、u）の数を数える。,"def count_vowels(string):
    vowels = 'aeiou'
    count = 0
    for char in string:
        if char.lower() in vowels:
            count += 1
    return count"
"Напишите программу на Python, которая принимает строку в качестве входных данных и подсчитывает количество гласных (a, e, i, o, u) в строке.","def count_vowels(string):
    vowels = 'aeiou'
    count = 0
    for char in string:
        if char.lower() in vowels:
            count += 1
    return count"
Write a Python function that takes a string as input and returns the string in reverse order.,"def reverse_string(input_string):
    return input_string[::-1]"
एक पायथन फंक्शन लिखें जो एक स्ट्रिंग को इनपुट के रूप में लेता है और स्ट्रिंग को उलटे क्रम में लौटाता है।,"def reverse_string(input_string):
    return input_string[::-1]"
Escribe una función en Python que tome una cadena como entrada y devuelva la cadena en orden inverso.,"def reverse_string(input_string):
    return input_string[::-1]"
文字列を入力として受け取り、逆の順序で文字列を返すPythonの関数を作成してください。,"def reverse_string(input_string):
    return input_string[::-1]"
"Напишите функцию на Python, которая принимает строку в качестве входных данных и возвращает строку в обратном порядке.","def reverse_string(input_string):
    return input_string[::-1]"
"Write a function that takes in a string as input and returns the number of vowels (a, e, i, o, u) in the string.","def count_vowels(string):
    vowels = ['a', 'e', 'i', 'o', 'u']
    count = 0
    for char in string:
        if char.lower() in vowels:
            count += 1
    return count"
编写一个函数，该函数接受一个字符串作为输入，并返回字符串中元音字母（a，e，i，o，u）的数量。,"def count_vowels(string):
    vowels = ['a', 'e', 'i', 'o', 'u']
    count = 0
    for char in string:
        if char.lower() in vowels:
            count += 1
    return count"
"एक फ़ंक्शन लिखें जो एक स्ट्रिंग को इनपुट के रूप में लेता है और स्ट्रिंग में मौखिक वर्णों (a, e, i, o, u) की संख्या लौटाता है।","def count_vowels(string):
    vowels = ['a', 'e', 'i', 'o', 'u']
    count = 0
    for char in string:
        if char.lower() in vowels:
            count += 1
    return count"
"Escribe una función que tome una cadena como entrada y devuelva el número de vocales (a, e, i, o, u) en la cadena.","def count_vowels(string):
    vowels = ['a', 'e', 'i', 'o', 'u']
    count = 0
    for char in string:
        if char.lower() in vowels:
            count += 1
    return count"
文字列を入力として受け取り、文字列内の母音（a、e、i、o、u）の数を返す関数を作成してください。,"def count_vowels(string):
    vowels = ['a', 'e', 'i', 'o', 'u']
    count = 0
    for char in string:
        if char.lower() in vowels:
            count += 1
    return count"
"Напишите функцию, которая принимает строку в качестве входных данных и возвращает количество гласных (a, e, i, o, u) в строке.","def count_vowels(string):
    vowels = ['a', 'e', 'i', 'o', 'u']
    count = 0
    for char in string:
        if char.lower() in vowels:
            count += 1
    return count"
Write a program to check if a given string is a valid email address or not.,"def is_valid_email(email):
    pattern = r'^[\w\.-]+@[\w\.-]+\.\w+$'
    return re.match(pattern, email) is not None"
编写一个程序来检查给定的字符串是否是一个有效的电子邮件地址。,"def is_valid_email(email):
    pattern = r'^[\w\.-]+@[\w\.-]+\.\w+$'
    return re.match(pattern, email) is not None"
Escribe un programa para verificar si una cadena dada es una dirección de correo electrónico válida o no.,"def is_valid_email(email):
    pattern = r'^[\w\.-]+@[\w\.-]+\.\w+$'
    return re.match(pattern, email) is not None"
"Напишите программу для проверки, является ли заданная строка действительным адресом электронной почты или нет.","def is_valid_email(email):
    pattern = r'^[\w\.-]+@[\w\.-]+\.\w+$'
    return re.match(pattern, email) is not None"
Write a program that takes a list of numbers as input and outputs the sum of all the numbers in the list.,"def sum_of_numbers(numbers):
    total = 0
    for num in numbers:
        total += num
    return total"
编写一个程序，接受一个数字列表作为输入，并输出列表中所有数字的总和。,"def sum_of_numbers(numbers):
    total = 0
    for num in numbers:
        total += num
    return total"
एक प्रोग्राम लिखें जो एक संख्या सूची को इनपुट के रूप में लेता है और सूची में सभी संख्याओं का योग आउटपुट के रूप में देता है।,"def sum_of_numbers(numbers):
    total = 0
    for num in numbers:
        total += num
    return total"
Escribe un programa que tome una lista de números como entrada y muestre la suma de todos los números en la lista.,"def sum_of_numbers(numbers):
    total = 0
    for num in numbers:
        total += num
    return total"
リストの数値を入力として受け取り、リスト内のすべての数値の合計を出力するプログラムを作成してください。,"def sum_of_numbers(numbers):
    total = 0
    for num in numbers:
        total += num
    return total"
"Напишите программу, которая принимает список чисел в качестве входных данных и выводит сумму всех чисел в списке.","def sum_of_numbers(numbers):
    total = 0
    for num in numbers:
        total += num
    return total"
Write a program to remove duplicate elements from a given list.,"def remove_duplicates(lst):
    return list(set(lst))"
编写一个程序，从给定的列表中删除重复的元素。,"def remove_duplicates(lst):
    return list(set(lst))"
एक दिए गए सूची से डुप्लिकेट तत्वों को हटाने के लिए एक प्रोग्राम लिखें।,"def remove_duplicates(lst):
    return list(set(lst))"
Escribe un programa para eliminar los elementos duplicados de una lista dada.,"def remove_duplicates(lst):
    return list(set(lst))"
Напишите программу для удаления повторяющихся элементов из заданного списка.,"def remove_duplicates(lst):
    return list(set(lst))"
Write a program to check if a given number is a palindrome or not.,"def is_palindrome(number):
    # Convert the number to a string
    number_str = str(number)
    
    # Reverse the string
    reversed_str = number_str[::-1]
    
    # Check if the reversed string is equal to the original string
    if number_str == reversed_str:
        return True
    else:
        return False"
एक दिए गए नंबर को पैलिंड्रोम है या नहीं यह जांचने के लिए एक प्रोग्राम लिखें।,"def is_palindrome(number):
    # Convert the number to a string
    number_str = str(number)
    
    # Reverse the string
    reversed_str = number_str[::-1]
    
    # Check if the reversed string is equal to the original string
    if number_str == reversed_str:
        return True
    else:
        return False"
Escribe un programa para verificar si un número dado es un palíndromo o no.,"def is_palindrome(number):
    # Convert the number to a string
    number_str = str(number)
    
    # Reverse the string
    reversed_str = number_str[::-1]
    
    # Check if the reversed string is equal to the original string
    if number_str == reversed_str:
        return True
    else:
        return False"
"Напишите программу для проверки, является ли заданное число палиндромом или нет.","def is_palindrome(number):
    # Convert the number to a string
    number_str = str(number)
    
    # Reverse the string
    reversed_str = number_str[::-1]
    
    # Check if the reversed string is equal to the original string
    if number_str == reversed_str:
        return True
    else:
        return False"
Write a function that takes in a string as input and returns the reverse of the string as output.,"def reverse_string(input_string):
    return input_string[::-1]"
编写一个函数，该函数接受一个字符串作为输入，并返回该字符串的反转作为输出。,"def reverse_string(input_string):
    return input_string[::-1]"
एक फ़ंक्शन लिखें जो एक स्ट्रिंग को इनपुट के रूप में लेता है और स्ट्रिंग का उलटा आउटपुट के रूप में वापस करता है।,"def reverse_string(input_string):
    return input_string[::-1]"
文字列を入力として受け取り、文字列の逆を出力として返す関数を作成してください。,"def reverse_string(input_string):
    return input_string[::-1]"
Write a function that takes in a list of numbers and returns the sum of all even numbers in the list.,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
编写一个函数，该函数接受一个数字列表，并返回列表中所有偶数的和。,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
एक फ़ंक्शन लिखें जो एक संख्या सूची लेता है और सूची में सभी सम संख्याओं का योग लौटाता है।,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
Escribe una función que tome una lista de números y devuelva la suma de todos los números pares en la lista.,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
リストの数値を受け取り、リスト内のすべての偶数の合計を返す関数を作成してください。,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
"Напишите функцию, которая принимает список чисел и возвращает сумму всех четных чисел в списке.","def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
Write a Python program that takes a string as input and checks if it is a palindrome or not.,"def is_palindrome(string):
    # Remove any spaces and convert the string to lowercase
    string = string.replace("" "", """").lower()
    
    # Reverse the string
    reversed_string = string[::-1]
    
    # Check if the original string is equal to the reversed string
    if string == reversed_string:
        return True
    else:
        return False"
एक पायथन प्रोग्राम लिखें जो एक स्ट्रिंग को इनपुट के रूप में लेता है और यह जांचता है कि यह पैलिंड्रोम है या नहीं।,"def is_palindrome(string):
    # Remove any spaces and convert the string to lowercase
    string = string.replace("" "", """").lower()
    
    # Reverse the string
    reversed_string = string[::-1]
    
    # Check if the original string is equal to the reversed string
    if string == reversed_string:
        return True
    else:
        return False"
Escribe un programa en Python que tome una cadena como entrada y verifique si es un palíndromo o no.,"def is_palindrome(string):
    # Remove any spaces and convert the string to lowercase
    string = string.replace("" "", """").lower()
    
    # Reverse the string
    reversed_string = string[::-1]
    
    # Check if the original string is equal to the reversed string
    if string == reversed_string:
        return True
    else:
        return False"
"Напишите программу на Python, которая принимает строку в качестве входных данных и проверяет, является ли она палиндромом или нет.","def is_palindrome(string):
    # Remove any spaces and convert the string to lowercase
    string = string.replace("" "", """").lower()
    
    # Reverse the string
    reversed_string = string[::-1]
    
    # Check if the original string is equal to the reversed string
    if string == reversed_string:
        return True
    else:
        return False"
Write a Python program to calculate the sum of all the numbers in a list.,"def calculate_sum(numbers):
    sum = 0
    for num in numbers:
        sum += num
    return sum"
编写一个Python程序来计算列表中所有数字的总和。,"def calculate_sum(numbers):
    sum = 0
    for num in numbers:
        sum += num
    return sum"
Escribe un programa en Python para calcular la suma de todos los números en una lista.,"def calculate_sum(numbers):
    sum = 0
    for num in numbers:
        sum += num
    return sum"
リスト内のすべての数の合計を計算するためのPythonプログラムを作成してください。,"def calculate_sum(numbers):
    sum = 0
    for num in numbers:
        sum += num
    return sum"
Напишите программу на Python для вычисления суммы всех чисел в списке.,"def calculate_sum(numbers):
    sum = 0
    for num in numbers:
        sum += num
    return sum"
Write a program to check if a given number is a prime number or not using the trial division algorithm.,"def is_prime(n):
    if n <= 1:
        return False
    elif n <= 3:
        return True
    elif n % 2 == 0 or n % 3 == 0:
        return False
    i = 5
    while i * i <= n:
        if n % i == 0 or n % (i + 2) == 0:
            return False
        i += 6
    return True"
Escribe un programa para verificar si un número dado es un número primo o no utilizando el algoritmo de división por prueba.,"def is_prime(n):
    if n <= 1:
        return False
    elif n <= 3:
        return True
    elif n % 2 == 0 or n % 3 == 0:
        return False
    i = 5
    while i * i <= n:
        if n % i == 0 or n % (i + 2) == 0:
            return False
        i += 6
    return True"
Write a Python program to find the sum of all digits in a given number.,"def sum_of_digits(number):
    # Convert the number to a string
    number_str = str(number)
    
    # Initialize the sum to 0
    digit_sum = 0
    
    # Iterate through each digit in the number
    for digit in number_str:
        # Convert the digit back to an integer and add it to the sum
        digit_sum += int(digit)
    
    # Return the sum of the digits
    return digit_sum"
编写一个Python程序，找到给定数字中所有数字的和。,"def sum_of_digits(number):
    # Convert the number to a string
    number_str = str(number)
    
    # Initialize the sum to 0
    digit_sum = 0
    
    # Iterate through each digit in the number
    for digit in number_str:
        # Convert the digit back to an integer and add it to the sum
        digit_sum += int(digit)
    
    # Return the sum of the digits
    return digit_sum"
एक दिए गए नंबर में सभी अंकों का योग ढूंढने के लिए एक पायथन प्रोग्राम लिखें।,"def sum_of_digits(number):
    # Convert the number to a string
    number_str = str(number)
    
    # Initialize the sum to 0
    digit_sum = 0
    
    # Iterate through each digit in the number
    for digit in number_str:
        # Convert the digit back to an integer and add it to the sum
        digit_sum += int(digit)
    
    # Return the sum of the digits
    return digit_sum"
Напишите программу на Python для нахождения суммы всех цифр в заданном числе.,"def sum_of_digits(number):
    # Convert the number to a string
    number_str = str(number)
    
    # Initialize the sum to 0
    digit_sum = 0
    
    # Iterate through each digit in the number
    for digit in number_str:
        # Convert the digit back to an integer and add it to the sum
        digit_sum += int(digit)
    
    # Return the sum of the digits
    return digit_sum"
Write a Python program that takes a list of numbers as input and calculates the sum of all even numbers in the list.,"def sum_of_even_numbers(numbers):
    sum = 0
    for num in numbers:
        if num % 2 == 0:
            sum += num
    return sum"
编写一个Python程序，接受一个数字列表作为输入，并计算列表中所有偶数的和。,"def sum_of_even_numbers(numbers):
    sum = 0
    for num in numbers:
        if num % 2 == 0:
            sum += num
    return sum"
एक पायथन प्रोग्राम लिखें जो एक संख्या सूची को इनपुट के रूप में लेता है और सूची में सभी सम्पूर्ण समय संख्याओं का योग की गणना करता है।,"def sum_of_even_numbers(numbers):
    sum = 0
    for num in numbers:
        if num % 2 == 0:
            sum += num
    return sum"
Escribe un programa en Python que tome una lista de números como entrada y calcule la suma de todos los números pares en la lista.,"def sum_of_even_numbers(numbers):
    sum = 0
    for num in numbers:
        if num % 2 == 0:
            sum += num
    return sum"
リストの数値を入力として受け取り、リスト内のすべての偶数の合計を計算するPythonプログラムを作成してください。,"def sum_of_even_numbers(numbers):
    sum = 0
    for num in numbers:
        if num % 2 == 0:
            sum += num
    return sum"
"Напишите программу на Python, которая принимает список чисел в качестве входных данных и вычисляет сумму всех четных чисел в списке.","def sum_of_even_numbers(numbers):
    sum = 0
    for num in numbers:
        if num % 2 == 0:
            sum += num
    return sum"
"Write a Python program to find the sum of all numbers below a given limit that are multiples of 4, 6, or 9.","def sum_multiples(limit):
    sum = 0
    for num in range(limit):
        if num % 4 == 0 or num % 6 == 0 or num % 9 == 0:
            sum += num
    return sum"
"Escribe un programa en Python para encontrar la suma de todos los números por debajo de un límite dado que son múltiplos de 4, 6 o 9.","def sum_multiples(limit):
    sum = 0
    for num in range(limit):
        if num % 4 == 0 or num % 6 == 0 or num % 9 == 0:
            sum += num
    return sum"
"Напишите программу на Python для нахождения суммы всех чисел ниже заданного предела, которые являются кратными 4, 6 или 9.","def sum_multiples(limit):
    sum = 0
    for num in range(limit):
        if num % 4 == 0 or num % 6 == 0 or num % 9 == 0:
            sum += num
    return sum"
Write a Python program that calculates the factorial of a given number.,"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)"
एक दिए गए नंबर का फैक्टोरियल गणित करने वाला एक पायथन प्रोग्राम लिखें।,"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)"
"Напишите программу на Python, которая вычисляет факториал заданного числа.","def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)"
Write a Python function that takes in a list of numbers and returns the sum of all the even numbers in the list.,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
编写一个Python函数，该函数接受一个数字列表，并返回列表中所有偶数的和。,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
एक पायथन फंक्शन लिखें जो एक संख्या की सूची लेता है और सूची में सभी सम संख्याओं का योग लौटाता है।,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
Escribe una función en Python que tome una lista de números y devuelva la suma de todos los números pares en la lista.,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
